Trial,Stimulus Type, Stimulus File, TrialMskAttn, Speaker Az,Speaker El,Galvo Az,Galvo El,Pointer Az,Pointer El
60,V,BB 200-20k 50ms.16,100,-0.144278,-0.008090,31.963647,0.273321,28.356500,0.311014
61,A,BB 200-20k 50ms.16,100,-15.904462,-0.008090,0.023167,0.273321,-17.786500,0.128501
62,A,BB 200-20k 50ms.16,100,35.654692,-0.008090,0.023167,0.273321,33.453500,0.311014
63,V,BB 200-20k 50ms.16,100,-0.006965,-0.008090,6.012007,0.273321,5.328500,0.219206
64,A,BB 200-20k 50ms.16,100,-19.916399,-0.008090,0.023167,0.273321,-14.007500,-0.329334
65,V,BB 200-20k 50ms.16,100,-0.119403,-0.008090,-35.909873,0.273321,-29.475500,-0.054814
66,A,BB 200-20k 50ms.16,100,33.706435,-0.008090,0.023167,0.273321,36.442500,-0.054814
67,V,BB 200-20k 50ms.16,100,-0.031841,-0.008090,-7.961953,0.273321,-7.063500,-0.512047
68,V,BB 200-20k 50ms.16,100,-0.033831,-0.008090,-13.950793,0.273321,-13.391500,-0.603313
69,V,BB 200-20k 50ms.16,100,-0.033831,-0.008090,-4.967533,0.273321,-6.096500,-0.146381
70,A,BB 200-20k 50ms.16,100,-31.889521,-0.008090,0.023167,0.273321,-28.860500,-0.237888
71,V,BB 200-20k 50ms.16,100,-0.094527,-0.008090,17.989687,0.273321,17.457500,-0.329334
72,A,BB 200-20k 50ms.16,100,-39.846727,-0.008090,0.023167,0.273321,-31.497500,-0.146381
73,V,BB 200-20k 50ms.16,100,-0.103482,-0.008090,10.004567,0.273321,10.162500,-0.329334
74,V,BB 200-20k 50ms.16,100,-0.105473,-0.008090,39.948767,0.273321,38.903500,0.494810
75,A,BB 200-20k 50ms.16,100,27.715396,-0.008090,0.023167,0.273321,27.037500,-0.693483
76,V,BB 200-20k 50ms.16,100,-0.027861,-0.008090,19.985967,0.273321,19.567500,-0.693483
77,A,BB 200-20k 50ms.16,100,25.676592,-0.008090,0.023167,0.273321,21.412500,-0.784630
78,V,BB 200-20k 50ms.16,100,-0.029851,-0.008090,19.985967,0.273321,16.930500,-0.512047
79,A,BB 200-20k 50ms.16,100,-37.805933,-0.008090,0.023167,0.273321,-31.585500,0.128501
80,A,BB 200-20k 50ms.16,100,9.836806,-0.008090,0.023167,0.273321,4.801500,-0.875717
81,A,BB 200-20k 50ms.16,100,19.810926,-0.008090,0.023167,0.273321,14.908500,-1.510614
82,V,BB 200-20k 50ms.16,100,-0.020896,-0.008090,8.008287,0.273321,6.735500,-0.237888
83,V,BB 200-20k 50ms.16,100,-0.020896,-0.008090,-25.928473,0.273321,-22.093500,-0.329334
84,V,BB 200-20k 50ms.16,100,-0.024876,-0.008090,-23.932193,0.273321,-20.686500,0.128501
85,A,BB 200-20k 50ms.16,100,-9.997005,-0.008090,0.023167,0.273321,-8.030500,-1.239463
86,V,BB 200-20k 50ms.16,100,-0.084577,-0.008090,-5.965673,0.273321,-5.657500,-0.329334
87,V,BB 200-20k 50ms.16,100,-0.084577,-0.008090,-9.958233,0.273321,-8.469500,-0.329334
88,V,BB 200-20k 50ms.16,100,-0.084577,-0.008090,-17.943353,0.273321,-15.237500,-0.329334
89,A,BB 200-20k 50ms.16,100,-23.880574,-0.008090,0.023167,0.273321,-15.061500,1.878880
90,A,BB 200-20k 50ms.16,100,31.728327,-0.008090,0.023167,0.273321,34.947500,-0.420721
91,A,BB 200-20k 50ms.16,100,23.862663,-0.008090,0.023167,0.273321,21.412500,-0.693483
92,V,BB 200-20k 50ms.16,100,-0.027861,-0.008090,19.985967,0.273321,19.127500,-0.512047
93,V,BB 200-20k 50ms.16,100,-0.027861,-0.008090,5.013867,0.273321,4.801500,0.219206
94,A,BB 200-20k 50ms.16,100,-29.833802,-0.008090,0.023167,0.273321,-23.059500,-0.966743
